Stations,w,h,x,y
Ickenham_Ruislip.png,104,42,181,402
Ruislip_RuislipManor.png,129,35,253,402
RuislipManor_Eastcote.png,86,53,299,410
Eastcote_RaynersLane.png,100,50,285,442
RaynersLane_SouthHarrow.png,113,69,284,469
SouthHarrow_SubduryHill.png,78,63,318,528
SubduryHill_SubduryTown.png,85,59,312,576
SubduryTown_Alperton.png,87,65,313,617
Alperton_ParkRoyal.png,69,163,330,665
NorthEaling_ParkRoyal.png,71,49,324,816
EalingCommon_NorthEaling.png,95,118,304,852
KewGardens_Richmond.png,98,59,423,1132
Gunnersbury_KewGardens.png,95,69,421,1084
Gunnersbury_TurnhamGreen.png,83,79,430,1021
ChiswickPark_TucnhamGreen.png,102,39,389,1023
ActonTown_ChiswickPark.png,80,67,386,991
HayesandHarlington_HeathrowTerminal2and3.png,115,269,91,907
HayesandHarlington_Southall.png,145,45,133,894
Southall_Hanwell.png,67,57,222,864
Handwell_WestEaling.png,90,50,246,862
WestEaling_EalingBroadway.png,94,59,289,876
EalingBroadway_EalingCommon.png,98,98,297,870
EalingCommon_ActonTown.png,155,66,302,954
ActonTown_SouthEaling.png,140,37,324,987
SouthEaling_Northfields.png,68,66,318,977
Northfields_BostonManor.png,89,40,301,1024
BostonManor_osterley.png,103,41,278,1044
Osterley_HounslowEast.png,97,37,257,1060
HounslowEast_HounslowCentral.png,105,48,247,1071
HounslowCentral_HounslowWest.png,125,48,220,1097
HounslowHouse_HattonCross.png,106,59,197,1110
HattonCross_HeathrowTerminal4.png,160,153,166,1141
HeathrowTerminal4_HeathrowTerminal2and3.png,159,160,92,1144
HeathowTerminal5_HeathrowTerminal2and3.png,130,124,64,1143
